Localidade,Concelho,Instituição,Urgência ,Voluntários ,Necessidades,Primeiro e Último Nome,Email,Telefone
Ouca,Vagos,Centro Social e Bem Estar de Ouca -  Lar de São Martinho,Alta,1-5,"Limpeza, Enfermagem, Apoio e Higiene Pessoal, Apoio Psicológico, Equipamento de Proteção Individual",Sónia Oliveira ,geral@csouca.pt,234790160
Ouca ,Vagos,Centro Social e Bem Estar de Ouca - Centro Comunitário,Alta,6-10,"Limpeza, Apoio e Higiene Pessoal, Apoio Cultural / Ocupacional, Apoio Psicológico, Equipamento de Proteção Individual",Eduardo Xavier,geral@csouca.pt,234790160
Goães Amares ,Amares ,Casa do Povo de Vale do Cávado ,Média,1-5,"Cozinha, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Ana Lopes ,cpvc.goaes@gmail.com,965535690
Sintra - Várzea de Sintra,Sintra,ASASTAP - Associação de Solidariedade e Apoio Social do Pessoal da TAP ,Baixa,11-15,"Limpeza, Enfermagem, Apoio e Higiene Pessoal, Equipamento de Proteção Individual, Nesta fase é só EPI - Ainda estamos assegurados com pessoal, por enquanto, e sem casos suspeitos",Sandra Silva (Diretora Técnica),sandra.asastap@gmail.com,219605830
VALBOM ,GONDOMAR,ASSOCIAÇÃO DO PORTO DE PARALISIA CEREBRAL,Alta,,Equipamento de Proteção Individual,RUI ALVES,RPFALVES@APPC.PT,968514013
APÚLIA,ESPOSENDE,CENTRO SOCIAL JOÃO PAULO II,Baixa,1-5,"Limpeza, Apoio e Higiene Pessoal",Marisa Castro,geral@csjoaopaulo2.pt,253989250
Mogo de Malta ,Carrazeda de Ansiães,Centro Social Paroquial de Mogos - ERPI,Média,1-5,"Limpeza, Apoio e Higiene Pessoal, Apoio Cultural / Ocupacional, Apoio Psicológico, Equipamento de Proteção Individual",Patricia Pereira ,cspmogos@gmail.com,278610260
Arrifana ,Santa Maria da Feira,Centro Social Paroquial de Arrifana,Média,1-5,"Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Alexandra Dias/Neusa Fernandes,alexandra@csarrifana.com/neusa@csarrifana.com,256812032
Videmonte,Guarda,Comissão de Melhoramentos de Videmonte,Média,1-5,"Limpeza, Enfermagem, Apoio Psicológico, Equipamento de Proteção Individual",Cátia Pires,cmvidemonte@gmail.com,271598505
Monte Redondo,Torres Vedras,"Associação Desportiva, Recreativa e Cultural de Monte Redondo",Alta,,"Cozinha, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Vanessa Cruz,assistente.social.adrcmr@gmail.com,916971046
Couço,Coruche ,Centro Social Paroquial de Santo António do Couço,Baixa,1-5,"Limpeza, Cozinha, Apoio e Higiene Pessoal",Liliana Leve,cspsacouco@gmail.com,963159482
Igreja Nova do Sobral,Ferreira do Zêzere,Associação Igrejanovense de Melhoramentos,Baixa,1-5,"Limpeza, Enfermagem, Cozinha, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Tânia Santos,geral.aim@sapo.pt,918131994
Moure,Vila Verde,Centro Paroquial e Social de Moure ,Média,6-10,"Limpeza, Cozinha, Apoio e Higiene Pessoal, Apoio Psicológico, Equipamento de Proteção Individual",Cristiana de Sá,cpsmoure@gmail.com,253927334
Bairro ,Ourém ,Centro de Bem-Estar de Bairro ,Média,1-5,"Apoio Psicológico, Equipamento de Proteção Individual",Sara Alves ,dtecnica@cbebairro.pt ,932200119
Ançã,Cantanhede,Centro Paroquial de Solidariedade Social de Ançã,Média,1-5,"Apoio e Higiene Pessoal, Apoio Psicológico",Palmira  Maltez,cpssa@sapo.pt,239961683/ 966613118
TORRES VEDRAS,TORRES VEDRAS,CENTRO COMUNITÁRIO DE TORRES VEDRAS - CAT RENASCER,Alta,1-5,"Enfermagem, Apoio Psicológico, Equipamento de Proteção Individual",SUSANA RIBEIRO,susana.ribeiro@cctv.pt,261339430
Pinhal Novo,Palmela,Fundação COI,Média,1-5,"Enfermagem, Equipamento de Proteção Individual",Fábio Bourscheid,fundacao@fundacao-coi.pt,212362302
Lousã,Lousã,ARCIL - Asociação Para a Rcuperação de Cidadãos Inadaptados da Lousã,Média,1-5,"Apoio e Higiene Pessoal, Apoio Psicológico, Equipamento de Proteção Individual",Rita Dias,rita.dias@arcil.org,914624693
Escapães,Santa Maria da Feira,Associação do Centro Social de Escapães,Alta,6-10,"Limpeza, Enfermagem, Cozinha, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Vânia Pereira,psic.vaniafsp@gmail.com,256302144
RIO DE LOBA,VISEU,CENTRO SOCIAL PAROQUIAL DE RIO DE LOBA,Média,1-5,Limpeza,LILIANA DAMIÃO,geral@cspriodeloba.pt,232440141/ 966040139
Vaqueiros,Alcoutim,Centro Paroquial de Vaqueiros,Média,1-5,"Apoio e Higiene Pessoal, Apoio Psicológico, Equipamento de Proteção Individual",Rita Torrado,cpvaqueiros@gmail.com,281498326
Meãs do Campo,Montemor-o-Velho,Centro Social e Paroquial de Meãs do Campo,Alta,,Equipamento de Proteção Individual,Sara Santos,centrosocialmeas@gmail.com,239629646
Travancinha ,Seia,Fundação Angelina Ferreira Moutinho ,Baixa,1-5,"Apoio Cultural / Ocupacional, Apoio Psicológico, Equipamento de Proteção Individual",Juliana Marques Martins ,f.angelinaferreiramoutinho@gmail.com ,238644667
Almancil,Loulé,ASMAL - Associação de Saúde Mental do Algarve,Baixa,11-15,"Limpeza, Enfermagem, Cozinha, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Ana Catarina Alves Bernardino,ana.alves@asmal.org.pt,289398362  |  961826466
Arazede,Montemor-o-Velho,Centro Paroquial de Solidariedade Social de Arazede,Média,1-5,"Limpeza, Enfermagem, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Maria João Dinis,servicosocial@cpssarazede.pt,239609372
Belver,Gavião,Centro Social Belverense,Média,1-5,"Limpeza, Enfermagem, Apoio e Higiene Pessoal, Apoio Psicológico, Equipamento de Proteção Individual",Telma Bugalho,telmabugalho.csb@gmail.com,937887420
São Paio de Oleiros,Santa Maria da Feira,Fundação Comendador Joaquim de Sá Couto.,Baixa,6-10,"Enfermagem, Apoio e Higiene Pessoal",Francisca de Sottomayor,geral@fcjsc.com,227452340
Coles de Samuel,Soure,Associação Cultural Recreativa e Social de Samuel,Média,1-5,"Limpeza, Apoio e Higiene Pessoal",Clara Santos,geral@asamuel.pt,239580000
Vaiamonte,Monforte,Centro Social Santo Antonio de Vaiamonte,Média,11-15,"Limpeza, Enfermagem, Cozinha, Apoio e Higiene Pessoal, Apoio Psicológico, Equipamento de Proteção Individual",Maria Filomena Jacinto,diretora.vaiamonte@gmail.com,963572351
Farminhão ,Viseu,Associação de Solidariedade Social de Farminhão - ASSF,Média,1-5,"Limpeza, Enfermagem, Apoio e Higiene Pessoal, Apoio Cultural / Ocupacional, Equipamento de Proteção Individual",Mónica Marques,monicamarques@assf.pt,232996525
Lisboa,Lisboa,Casa de Repouso Maria Manuela,Baixa,1-5,"Limpeza, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Guilhermina Soares,cr.mm@sapo.pt,965852269
Almada,Almada,Santa Casa da Misericórdia de Almada,Média,1-5,"Enfermagem, Apoio e Higiene Pessoal",Maria Assis Almeida,maalmeida@scma.pt,932366686
Montemor-o-Novo,Montemor-o-Novo,cercimor,Média,1-5,Apoio e Higiene Pessoal,ana saloio,cristinasaloio.cercimor@gmail.com,934848528
"Vila Boa do Bispo, Marco de Canaveses",Marco de Canaveses,Fundação Santo António,Média,>21,"Enfermagem, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Manuel António ,mamteixeira@gmail.com,964056092
Lagoa - Algarve,Lagoa,Centro Popular de Lagoa,Alta,1-5,"Enfermagem, Equipamento de Proteção Individual",João Pereira,jpereira@centropopulardelagoa.com,282340540
Porto da Carne,Guarda,Associação de Melhoramentos e Apoio Social do Porto da Carne ,Alta,,Equipamento de Proteção Individual,Cláudia Rebelo ,enfermagem@amaspc.pt ,966271731
Porto,Felgueiras,Centro Social Nossa Senhora de Pedra Maria,Média,,Equipamento de Proteção Individual,Patrícia Magalhães,cspedramaria@gmail.com,255923522/ 963187405
Rua Manuel Vieira Neves da Cruz,Maia ,Abrigo de Nossa Senhora da Esperança ,Alta,1-5,"Enfermagem, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Andreia Dias ,gabsocial.maia@anse.pt,910037507
"Rua Manuel Vieira Neves da Cruz, 196, 4475-035 Milheirós Maia ",Maia ,ANSE - Abrigo de Nossa Senhora da Esperança ,Alta,6-10,Apoio e Higiene Pessoal,Andreia Dias ,gabsocial.maia@anse.pt,910037507
Lisboa,Lisboa,"O Companheiro, IPSS",Média,1-5,"Limpeza, Cozinha",Helena Baron,h.baron@companheiro.org,911934918
Viseu,Viseu,Associação de Solidariedade Social da Freguesia de Abraveses,Baixa,6-10,"Limpeza, Cozinha, Apoio e Higiene Pessoal",Margarete Amaral,geral@assfa.pt,232451340
Pinhal dos Frades,Seixal,Associação de Reformados Pensionistas e Idosos de Pinhal dos Frades,Média,,Equipamento de Proteção Individual,Ana Gaspar ,arpipf@sapo.pt,212243964-933570887
Lorvão,Penacova,CENTRO SOCIAL PAROQUIAL DE LORVÃO,Média,,Equipamento de Proteção Individual,Mariana Carvalho,cspl.dt.social@gmail.com,919679334
Pedrógão Pequeno,Sertã,Centro Social Nossa Senhora Da Confiança,Baixa,1-5,"Equipamento de Proteção Individual, Distribuição de refeições nos domicílios ",Ana Marçal,c.s.confianca@gmail.com,968990126
Lisboa,Lisboa,centro social e paroquial da ameixoeira,Alta,1-5,"Limpeza, Enfermagem, Apoio e Higiene Pessoal, Apoio Cultural / Ocupacional, Apoio Psicológico, Equipamento de Proteção Individual, distribuição de refeições para os utentes a banco alimentar",sandra fonte santa,cspameixoeira@hotmail.com,912469128
Évora,Évora,Cercidiana,Baixa,1-5,"Apoio e Higiene Pessoal, Apoio Cultural / Ocupacional, Equipamento de Proteção Individual",Mara Modas,cercidianadireccao@gmail.com,266759530
Peraboa,Covilhã,Centro social do divino espírito Santo de Peraboa,Média,6-10,"Limpeza, Enfermagem, Cozinha, Apoio e Higiene Pessoal, Apoio Cultural / Ocupacional, Apoio Psicológico, Equipamento de Proteção Individual",Andreia Martins,csocialdesanto@gmail.com,925912651
Parceiros,Leiria,Associação de Bem Estar dos Parceiros,Baixa,1-5,"Cozinha, Equipamento de Proteção Individual",Cláudia Oliveira,contabilidade@abep.pt,244843210
Beja,Beja,Cercibeja,Média,,"Equipamento de Proteção Individual, Jogos lúdicos",Luís Vieira,luis.vieira@cercibeja.org.pt,961382709
Chiqueda,Alcobaça,Residência Sénior O Baloiço,Baixa,1-5,"Limpeza, Apoio e Higiene Pessoal",Venusa Silva,direcaotecnica.eden@gmail.com,966166290
Cunha Baixa,Mangualde,Centro de Dia e Serviço de Apoio ao Domicílio,Média,1-5,"Limpeza, Cozinha, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Padre Paulo Domingues,presidente@cpcunhabaixa.pt,967217258
Alcabideche,Cascais,Centro de Apoio Social do Pisão / Santa Casa da Misericórdia de Cascais,Média,1-5,Enfermagem,Anabela Gomes,Anabela.gomes@scmc.pt,214603890
Alvega,Abrantes,Centro de Assistência Paroquial São Pedro de Alvega,Baixa,1-5,"Apoio e Higiene Pessoal, Apoio Psicológico, Equipamento de Proteção Individual",Rita Santos,geral@centroalvega.udipss.org,241822447
Cumieira,Santa Marta de Penaguião,Centro Social e Paroquial de Santa Eulália da Cumieira,Média,1-5,"Enfermagem, Equipamento de Proteção Individual",Alexandra Marta,geral@cspcumieira.com,938706220
Fafe,SAD - Serviço de Apoio Domiciliário,COOPfafe - Cooperativa de Solidariedade Social de Fafe,Média,,"Equipamento de Proteção Individual, Géneros Alimentares",Ana Luísa Damasceno,coopfafe@gmail.com,910553133
Povoa de Varzim,Povoa de Varzim,A BENEFICENTE,Média,1-5,"Apoio e Higiene Pessoal, Apoio Psicológico, Equipamento de Proteção Individual",Joana Magalhaes,rh@abeneficente.pt,913434992
Quinta da Princesa - Cruz de Pau,Seixal,Associação de Reformados Idosos da Freguesia da Amora,Média,1-5,"Cozinha, Apoio e Higiene Pessoal, Apoio Cultural / Ocupacional, Apoio Psicológico, Equipamento de Proteção Individual",Maria Manuela Pombal,mpombal.arifa@gmail.com,212268150
Vila das Aves,Santo Tirso,Lar Familiar da Tranquilidade,Média,,Equipamento de Proteção Individual,Cristina Paraty,direccao.lar@paroquiaaves.pt,252942031
Aldeia da Mata,Crato,Lar de s. António ,Baixa,1-5,"Limpeza, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Cidália Amieiro ,camieiro@gmail.com,969362852
